Country,Category,Description,Units,Year,Month,Quantity,Value,M2
_ANDEAN (ATPA),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,63124,175525,63124
_ANDEAN (ATPA),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,55595,143339,55595
_ANDEAN (ATPA),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,72383,402860,72383
_ANDEAN (ATPA),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,92512,248077,92512
_ANDEAN (ATPA),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,149566,273024,149566
_ANDEAN (ATPA),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,180212,385035,180212
_ASEAN,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,704166952,2495506579,704166952
_ASEAN,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,621000280,2010496050,621000280
_ASEAN,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,694452311,2230782468,694452311
_ASEAN,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,610438035,2056336046,610438035
_ASEAN,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,600207187,2011626948,600207187
_ASEAN,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,651540825,2365122436,651540825
_CAFTA-DR,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,128043166,438989294,128043166
_CAFTA-DR,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,156912959,546638129,156912959
_CAFTA-DR,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,171208283,603088008,171208283
_CAFTA-DR,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,141198860,516478956,141198860
_CAFTA-DR,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,161878849,591648065,161878849
_CAFTA-DR,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,160278772,602645989,160278772
_CBI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,8449329,21263335,8449329
_CBI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,12873168,31081233,12873168
_CBI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,21831302,52480968,21831302
_CBI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,12937881,32621433,12937881
_CBI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,10915552,25459445,10915552
_CBI,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,15499411,35401454,15499411
_EU (2020-present),1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,9285575,229301736,9285575
