Country,2022,2023,2024,2025,2025 YTD,2026 YTD,2025 YE,2026 YE
World,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
China,21.8,20.9,20.9,13.7,16.7,9.4,20.3,11.3
Vietnam,18.3,18.9,18.9,21.5,19.4,22.3,19.2,22.5
Bangladesh,9.7,9.3,9.3,10.5,11.4,11.5,9.8,10.5
India,5.7,5.9,5.9,6.4,7.6,6.2,6.1,5.9
Cambodia,4.3,4.8,4.8,6.2,4.7,6.1,4.9,6.7
Indonesia,5.6,5.4,5.4,6.0,6.1,7.1,5.5,6.3
Mexico,3.1,3.3,3.3,3.3,3.2,3.4,3.2,3.4
Pakistan,2.8,2.7,2.7,3.1,2.9,2.9,2.8,3.1
Honduras,3.2,2.9,2.9,2.6,2.4,2.4,2.7,2.6
Nicaragua,2.8,2.5,2.5,2.4,2.3,2.2,2.3,2.4
Sri Lanka,2.1,2.1,2.1,2.2,2.3,2.5,2.1,2.3
Guatemala,1.9,2.0,2.0,1.9,1.9,2.1,1.9,2.0
